HGNC ID	Status	Approved symbol	Approved name	Ensembl gene ID	NCBI gene ID	Chromosome
HGNC:25662	Approved	AAGAB	alpha and gamma adaptin binding protein	ENSG00000103591	79719	15
HGNC:19679	Approved	AAK1	AP2 associated kinase 1	ENSG00000115977	22848	2
HGNC:30205	Approved	AAMDC	adipogenesis associated Mth938 domain containing	ENSG00000087884	28971	11
HGNC:18	Approved	AAMP	angio associated migratory cell protein	ENSG00000127837	14	2
HGNC:19	Approved	AANAT	aralkylamine N-acetyltransferase	ENSG00000129673	15	17
HGNC:15886	Approved	AAR2	AAR2 splicing factor	ENSG00000131043	25980	20
HGNC:33842	Approved	AARD	alanine and arginine rich domain containing protein	ENSG00000205002	441376	8
HGNC:20	Approved	AARS	alanyl-tRNA synthetase	ENSG00000090861	16	16
HGNC:21022	Approved	AARS2	alanyl-tRNA synthetase 2, mitochondrial	ENSG00000124608	57505	6
HGNC:28417	Approved	AARSD1	alanyl-tRNA synthetase domain containing 1	ENSG00000266967	80755	17
HGNC:49894	Approved	AARSP1	alanyl-tRNA synthetase pseudogene 1	ENSG00000249038	106480683	4
HGNC:23993	Approved	AASDH	aminoadipate-semialdehyde dehydrogenase	ENSG00000157426	132949	4
HGNC:14235	Approved	AASDHPPT	aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase	ENSG00000149313	60496	11
HGNC:17366	Approved	AASS	aminoadipate-semialdehyde synthase	ENSG00000008311	10157	7
HGNC:51526	Approved	AATBC	apoptosis associated transcript in bladder cancer	ENSG00000215458	284837	21
HGNC:19235	Approved	AATF	apoptosis antagonizing transcription factor	ENSG00000275700	26574	17
HGNC:21	Approved	AATK	apoptosis associated tyrosine kinase	ENSG00000181409	9625	17
HGNC:22	Approved	AAVS1	adeno-associated virus integration site 1		17	19
HGNC:49667	Approved	ABALON	apoptotic BCL2L1-antisense long non-coding RNA	ENSG00000281376	103021294	20
HGNC:23	Approved	ABAT	4-aminobutyrate aminotransferase	ENSG00000183044	18	16
HGNC:29	Approved	ABCA1	ATP binding cassette subfamily A member 1	ENSG00000165029	19	9
HGNC:32	Approved	ABCA2	ATP binding cassette subfamily A member 2	ENSG00000107331	20	9
HGNC:33	Approved	ABCA3	ATP binding cassette subfamily A member 3	ENSG00000167972	21	16
HGNC:34	Approved	ABCA4	ATP binding cassette subfamily A member 4	ENSG00000198691	24	1
HGNC:35	Approved	ABCA5	ATP binding cassette subfamily A member 5	ENSG00000154265	23461	17
HGNC:36	Approved	ABCA6	ATP binding cassette subfamily A member 6	ENSG00000154262	23460	17
HGNC:37	Approved	ABCA7	ATP binding cassette subfamily A member 7	ENSG00000064687	10347	19
HGNC:38	Approved	ABCA8	ATP binding cassette subfamily A member 8	ENSG00000141338	10351	17
HGNC:39	Approved	ABCA9	ATP binding cassette subfamily A member 9	ENSG00000154258	10350	17
HGNC:39983	Approved	ABCA9-AS1	ABCA9 antisense RNA 1	ENSG00000231749	104355297	17
HGNC:30	Approved	ABCA10	ATP binding cassette subfamily A member 10	ENSG00000154263	10349	17
HGNC:31	Approved	ABCA11P	ATP binding cassette subfamily A member 11, pseudogene	ENSG00000251595	79963	4
HGNC:14637	Approved	ABCA12	ATP binding cassette subfamily A member 12	ENSG00000144452	26154	2
HGNC:14638	Approved	ABCA13	ATP binding cassette subfamily A member 13	ENSG00000179869	154664	7
HGNC:32972	Approved	ABCA17P	ATP binding cassette subfamily A member 17, pseudogene	ENSG00000238098	650655	16
HGNC:40	Approved	ABCB1	ATP binding cassette subfamily B member 1	ENSG00000085563	5243	7
HGNC:45	Approved	ABCB4	ATP binding cassette subfamily B member 4	ENSG00000005471	5244	7
HGNC:46	Approved	ABCB5	ATP binding cassette subfamily B member 5	ENSG00000004846	340273	7
HGNC:47	Approved	ABCB6	ATP binding cassette subfamily B member 6 (Langereis blood group)	ENSG00000115657	10058	2
HGNC:48	Approved	ABCB7	ATP binding cassette subfamily B member 7	ENSG00000131269	22	X
HGNC:49	Approved	ABCB8	ATP binding cassette subfamily B member 8	ENSG00000197150	11194	7
HGNC:50	Approved	ABCB9	ATP binding cassette subfamily B member 9	ENSG00000150967	23457	12
HGNC:41	Approved	ABCB10	ATP binding cassette subfamily B member 10	ENSG00000135776	23456	1
HGNC:14114	Approved	ABCB10P1	ABCB10 pseudogene 1	ENSG00000274099	56476	15
HGNC:31129	Approved	ABCB10P3	ABCB10 pseudogene 3	ENSG00000261524	728248	15
HGNC:31130	Approved	ABCB10P4	ABCB10 pseudogene 4	ENSG00000260053	100132289	15
HGNC:42	Approved	ABCB11	ATP binding cassette subfamily B member 11	ENSG00000073734	8647	2
HGNC:51	Approved	ABCC1	ATP binding cassette subfamily C member 1	ENSG00000103222	4363	16
HGNC:53	Approved	ABCC2	ATP binding cassette subfamily C member 2	ENSG00000023839	1244	10
HGNC:54	Approved	ABCC3	ATP binding cassette subfamily C member 3	ENSG00000108846	8714	17
HGNC:55	Approved	ABCC4	ATP binding cassette subfamily C member 4	ENSG00000125257	10257	13
HGNC:56	Approved	ABCC5	ATP binding cassette subfamily C member 5	ENSG00000114770	10057	3
HGNC:40055	Approved	ABCC5-AS1	ABCC5 antisense RNA 1	ENSG00000223882	100873982	3
HGNC:57	Approved	ABCC6	ATP binding cassette subfamily C member 6	ENSG00000091262	368	16
HGNC:33352	Approved	ABCC6P1	ATP binding cassette subfamily C member 6 pseudogene 1	ENSG00000256340	653190	16
HGNC:33353	Approved	ABCC6P2	ATP binding cassette subfamily C member 6 pseudogene 2	ENSG00000255277	730013	16
HGNC:59	Approved	ABCC8	ATP binding cassette subfamily C member 8	ENSG00000006071	6833	11
HGNC:60	Approved	ABCC9	ATP binding cassette subfamily C member 9	ENSG00000069431	10060	12
HGNC:52	Approved	ABCC10	ATP binding cassette subfamily C member 10	ENSG00000124574	89845	6
HGNC:14639	Approved	ABCC11	ATP binding cassette subfamily C member 11	ENSG00000121270	85320	16
HGNC:14640	Approved	ABCC12	ATP binding cassette subfamily C member 12	ENSG00000140798	94160	16
HGNC:16022	Approved	ABCC13	ATP binding cassette subfamily C member 13 (pseudogene)	ENSG00000243064	150000	21
HGNC:61	Approved	ABCD1	ATP binding cassette subfamily D member 1	ENSG00000101986	215	X
HGNC:62	Approved	ABCD1P1	ATP binding cassette subfamily D member 1 pseudogene 1		23785	2
HGNC:63	Approved	ABCD1P2	ATP binding cassette subfamily D member 1 pseudogene 2	ENSG00000215151	26983	10
HGNC:64	Approved	ABCD1P3	ATP binding cassette subfamily D member 1 pseudogene 3	ENSG00000261233	26982	16
HGNC:65	Approved	ABCD1P4	ATP binding cassette subfamily D member 1 pseudogene 4	ENSG00000225293	26957	22
HGNC:42662	Approved	ABCD1P5	ATP binding cassette subfamily D member 1 pseudogene 5	ENSG00000214330	642762	2
HGNC:66	Approved	ABCD2	ATP binding cassette subfamily D member 2	ENSG00000173208	225	12
HGNC:67	Approved	ABCD3	ATP binding cassette subfamily D member 3	ENSG00000117528	5825	1
HGNC:68	Approved	ABCD4	ATP binding cassette subfamily D member 4	ENSG00000119688	5826	14
HGNC:69	Approved	ABCE1	ATP binding cassette subfamily E member 1	ENSG00000164163	6059	4
HGNC:70	Approved	ABCF1	ATP binding cassette subfamily F member 1	ENSG00000204574	23	6
HGNC:53628	Approved	ABCF1-DT	ABCF1 divergent transcript		107986587	6
HGNC:71	Approved	ABCF2	ATP binding cassette subfamily F member 2	ENSG00000033050	10061	7
HGNC:48841	Approved	ABCF2P1	ATP binding cassette subfamily F member 2 pseudogene 1	ENSG00000242159	344653	3
HGNC:48842	Approved	ABCF2P2	ATP binding cassette subfamily F member 2 pseudogene 2	ENSG00000228769	100422059	7
HGNC:72	Approved	ABCF3	ATP binding cassette subfamily F member 3	ENSG00000161204	55324	3
HGNC:73	Approved	ABCG1	ATP binding cassette subfamily G member 1	ENSG00000160179	9619	21
HGNC:74	Approved	ABCG2	ATP binding cassette subfamily G member 2 (Junior blood group)	ENSG00000118777	9429	4
HGNC:13884	Approved	ABCG4	ATP binding cassette subfamily G member 4	ENSG00000172350	64137	11
HGNC:13886	Approved	ABCG5	ATP binding cassette subfamily G member 5	ENSG00000138075	64240	2
HGNC:13887	Approved	ABCG8	ATP binding cassette subfamily G member 8	ENSG00000143921	64241	2
HGNC:17553	Approved	ABHD1	abhydrolase domain containing 1	ENSG00000143994	84696	2
HGNC:18717	Approved	ABHD2	abhydrolase domain containing 2	ENSG00000140526	11057	15
HGNC:18718	Approved	ABHD3	abhydrolase domain containing 3	ENSG00000158201	171586	18
HGNC:20154	Approved	ABHD4	abhydrolase domain containing 4	ENSG00000100439	63874	14
HGNC:21396	Approved	ABHD5	abhydrolase domain containing 5	ENSG00000011198	51099	3
HGNC:21398	Approved	ABHD6	abhydrolase domain containing 6	ENSG00000163686	57406	3
HGNC:23759	Approved	ABHD8	abhydrolase domain containing 8	ENSG00000127220	79575	19
HGNC:25656	Approved	ABHD10	abhydrolase domain containing 10	ENSG00000144827	55347	3
HGNC:16407	Approved	ABHD11	abhydrolase domain containing 11	ENSG00000106077	83451	7
HGNC:18289	Approved	ABHD11-AS1	ABHD11 antisense RNA 1 (tail to tail)	ENSG00000225969	171022	7
HGNC:40012	Entry Withdrawn	ABHD11-AS2	entry withdrawn			NA
HGNC:15868	Approved	ABHD12	abhydrolase domain containing 12	ENSG00000100997	26090	20
HGNC:19837	Approved	ABHD12B	abhydrolase domain containing 12B	ENSG00000131969	145447	14
HGNC:20293	Approved	ABHD13	abhydrolase domain containing 13	ENSG00000139826	84945	13
HGNC:24538	Approved	ABHD14A	abhydrolase domain containing 14A	ENSG00000248487	25864	3
HGNC:38856	Approved	ABHD14A-ACY1	ABHD14A-ACY1 readthrough	ENSG00000114786	100526760	3
HGNC:28235	Approved	ABHD14B	abhydrolase domain containing 14B	ENSG00000114779	84836	3
HGNC:26971	Approved	ABHD15	abhydrolase domain containing 15	ENSG00000168792	116236	17
HGNC:49685	Approved	ABHD15-AS1	ABHD15 antisense RNA 1	ENSG00000264031	104355133	17
HGNC:13921	Approved	ABHD16A	abhydrolase domain containing 16A	ENSG00000204427	7920	6
HGNC:16128	Approved	ABHD16B	abhydrolase domain containing 16B	ENSG00000183260	140701	20
HGNC:28756	Approved	ABHD17A	abhydrolase domain containing 17A	ENSG00000129968	81926	19
HGNC:28394	Approved	ABHD17AP1	abhydrolase domain containing 17A pseudogene 1	ENSG00000198658	728917	1
HGNC:34041	Approved	ABHD17AP3	abhydrolase domain containing 17A pseudogene 3	ENSG00000250536	648359	1
HGNC:34042	Approved	ABHD17AP4	abhydrolase domain containing 17A pseudogene P4	ENSG00000229107	729495	22
HGNC:34043	Approved	ABHD17AP5	abhydrolase domain containing 17A pseudogene 5	ENSG00000263366	91219	22
HGNC:34044	Approved	ABHD17AP6	abhydrolase domain containing 17A pseudogene 6	ENSG00000226981	644988	17
HGNC:38508	Approved	ABHD17AP7	abhydrolase domain containing 17A pseudogene 7	ENSG00000260864	100133212	16
HGNC:38509	Approved	ABHD17AP8	abhydrolase domain containing 17A pseudogene 8	ENSG00000260540	647144	16
HGNC:38510	Approved	ABHD17AP9	abhydrolase domain containing 17A pseudogene 9	ENSG00000261536	100132251	16
HGNC:24278	Approved	ABHD17B	abhydrolase domain containing 17B	ENSG00000107362	51104	9
HGNC:26925	Approved	ABHD17C	abhydrolase domain containing 17C	ENSG00000136379	58489	15
HGNC:26111	Approved	ABHD18	abhydrolase domain containing 18	ENSG00000164074	80167	4
HGNC:11320	Approved	ABI1	abl interactor 1	ENSG00000136754	10006	10
HGNC:20035	Approved	ABI1P1	abl interactor 1 pseudogene 1	ENSG00000271484	326268	14
HGNC:24011	Approved	ABI2	abl interactor 2	ENSG00000138443	10152	2
HGNC:29859	Approved	ABI3	ABI family member 3	ENSG00000108798	51225	17
HGNC:17265	Approved	ABI3BP	ABI family member 3 binding protein	ENSG00000154175	25890	3
HGNC:1364	Approved	ABITRAM	actin binding transcription modulator	ENSG00000119328	54942	9
HGNC:39851	Approved	ABITRAMP1	ABITRAM pseudogene 1	ENSG00000251106	390403	13
HGNC:76	Approved	ABL1	ABL proto-oncogene 1, non-receptor tyrosine kinase	ENSG00000097007	25	9
HGNC:77	Approved	ABL2	ABL proto-oncogene 2, non-receptor tyrosine kinase	ENSG00000143322	27	1
HGNC:78	Approved	ABLIM1	actin binding LIM protein 1	ENSG00000099204	3983	10
HGNC:19195	Approved	ABLIM2	actin binding LIM protein family member 2	ENSG00000163995	84448	4
HGNC:29132	Approved	ABLIM3	actin binding LIM protein family member 3	ENSG00000173210	22885	5
HGNC:79	Approved	ABO	ABO, alpha 1-3-N-acetylgalactosaminyltransferase and alpha 1-3-galactosyltransferase	ENSG00000175164	28	9
HGNC:81	Approved	ABR	ABR activator of RhoGEF and GTPase	ENSG00000159842	29	17
HGNC:30655	Approved	ABRA	actin binding Rho activating protein	ENSG00000174429	137735	8
HGNC:21230	Approved	ABRACL	ABRA C-terminal like	ENSG00000146386	58527	6
HGNC:25829	Approved	ABRAXAS1	abraxas 1, BRCA1 A complex subunit	ENSG00000163322	84142	4
HGNC:28975	Approved	ABRAXAS2	abraxas 2, BRISC complex subunit	ENSG00000165660	23172	10
HGNC:17369	Approved	ABT1	activator of basal transcription 1	ENSG00000146109	29777	6
HGNC:39557	Approved	ABT1P1	activator of basal transcription 1 pseudogene 1	ENSG00000250496	100420695	4
HGNC:18275	Approved	ABTB1	ankyrin repeat and BTB domain containing 1	ENSG00000114626	80325	3
HGNC:23842	Approved	ABTB2	ankyrin repeat and BTB domain containing 2	ENSG00000166016	25841	11
HGNC:82	Approved	ACAA1	acetyl-CoA acyltransferase 1	ENSG00000060971	30	3
HGNC:83	Approved	ACAA2	acetyl-CoA acyltransferase 2	ENSG00000167315	10449	18
HGNC:84	Approved	ACACA	acetyl-CoA carboxylase alpha	ENSG00000278540	31	17
HGNC:85	Approved	ACACB	acetyl-CoA carboxylase beta	ENSG00000076555	32	12
HGNC:86	Entry Withdrawn	ACAD	entry withdrawn			NA
HGNC:87	Approved	ACAD8	acyl-CoA dehydrogenase family member 8	ENSG00000151498	27034	11
HGNC:21497	Approved	ACAD9	acyl-CoA dehydrogenase family member 9	ENSG00000177646	28976	3
HGNC:21597	Approved	ACAD10	acyl-CoA dehydrogenase family member 10	ENSG00000111271	80724	12
HGNC:30211	Approved	ACAD11	acyl-CoA dehydrogenase family member 11	ENSG00000240303	84129	3
HGNC:88	Approved	ACADL	acyl-CoA dehydrogenase long chain	ENSG00000115361	33	2
HGNC:89	Approved	ACADM	acyl-CoA dehydrogenase medium chain	ENSG00000117054	34	1
HGNC:90	Approved	ACADS	acyl-CoA dehydrogenase short chain	ENSG00000122971	35	12
HGNC:91	Approved	ACADSB	acyl-CoA dehydrogenase short/branched chain	ENSG00000196177	36	10
HGNC:92	Approved	ACADVL	acyl-CoA dehydrogenase very long chain	ENSG00000072778	37	17
HGNC:319	Approved	ACAN	aggrecan	ENSG00000157766	176	15
HGNC:16467	Approved	ACAP1	ArfGAP with coiled-coil, ankyrin repeat and PH domains 1	ENSG00000072818	9744	17
HGNC:16469	Approved	ACAP2	ArfGAP with coiled-coil, ankyrin repeat and PH domains 2	ENSG00000114331	23527	3
HGNC:41426	Approved	ACAP2-IT1	ACAP2 intronic transcript 1	ENSG00000229325	100874306	3
HGNC:16754	Approved	ACAP3	ArfGAP with coiled-coil, ankyrin repeat and PH domains 3	ENSG00000131584	116983	1
HGNC:93	Approved	ACAT1	acetyl-CoA acetyltransferase 1	ENSG00000075239	38	11
HGNC:94	Approved	ACAT2	acetyl-CoA acetyltransferase 2	ENSG00000120437	39	6
HGNC:15453	Approved	ACBD3	acyl-CoA binding domain containing 3	ENSG00000182827	64746	1
HGNC:40701	Approved	ACBD3-AS1	ACBD3 antisense RNA 1	ENSG00000234478	107985353	1
HGNC:23337	Approved	ACBD4	acyl-CoA binding domain containing 4	ENSG00000181513	79777	17
HGNC:23338	Approved	ACBD5	acyl-CoA binding domain containing 5	ENSG00000107897	91452	10
HGNC:23339	Approved	ACBD6	acyl-CoA binding domain containing 6	ENSG00000230124	84320	1
HGNC:17715	Approved	ACBD7	acyl-CoA binding domain containing 7	ENSG00000176244	414149	10
HGNC:23989	Approved	ACCS	1-aminocyclopropane-1-carboxylate synthase homolog (inactive)	ENSG00000110455	84680	11
HGNC:34391	Approved	ACCSL	1-aminocyclopropane-1-carboxylate synthase homolog (inactive) like	ENSG00000205126	390110	11
HGNC:25070	Approved	ACD	ACD shelterin complex subunit and telomerase recruitment factor	ENSG00000102977	65057	16
HGNC:2707	Approved	ACE	angiotensin I converting enzyme	ENSG00000159640	1636	17
HGNC:13557	Approved	ACE2	angiotensin I converting enzyme 2	ENSG00000130234	59272	X
HGNC:44365	Approved	ACE3P	angiotensin I converting enzyme 3, pseudogene	ENSG00000224353	100129123	17
HGNC:18356	Approved	ACER1	alkaline ceramidase 1	ENSG00000167769	125981	19
HGNC:23675	Approved	ACER2	alkaline ceramidase 2	ENSG00000177076	340485	9
HGNC:16066	Approved	ACER3	alkaline ceramidase 3	ENSG00000078124	55331	11
HGNC:108	Approved	ACHE	acetylcholinesterase (Cartwright blood group)	ENSG00000087085	43	7
HGNC:17066	Approved	ACIN1	apoptotic chromatin condensation inducer 1	ENSG00000100813	22985	14
HGNC:4035	Approved	ACKR1	atypical chemokine receptor 1 (Duffy blood group)	ENSG00000213088	2532	1
HGNC:1565	Approved	ACKR2	atypical chemokine receptor 2	ENSG00000144648	1238	3
HGNC:23692	Approved	ACKR3	atypical chemokine receptor 3	ENSG00000144476	57007	2
HGNC:1611	Approved	ACKR4	atypical chemokine receptor 4	ENSG00000129048	51554	3
HGNC:114	Approved	ACLS	acrocallosal syndrome		46	12
HGNC:115	Approved	ACLY	ATP citrate lyase	ENSG00000131473	47	17
HGNC:116	Entry Withdrawn	ACMG	entry withdrawn			NA
HGNC:19288	Approved	ACMSD	aminocarboxymuconate semialdehyde decarboxylase	ENSG00000153086	130013	2
HGNC:34504	Approved	ACNATP	acyl-CoA:amino acid N-acyltransferase pseudogene	ENSG00000227411	347275	9
HGNC:117	Approved	ACO1	aconitase 1	ENSG00000122729	48	9
HGNC:118	Approved	ACO2	aconitase 2	ENSG00000100412	50	22
HGNC:33904	Approved	ACOD1	aconitate decarboxylase 1	ENSG00000102794	730249	13
HGNC:33128	Approved	ACOT1	acyl-CoA thioesterase 1	ENSG00000184227	641371	14
HGNC:18431	Approved	ACOT2	acyl-CoA thioesterase 2	ENSG00000119673	10965	14
HGNC:19748	Approved	ACOT4	acyl-CoA thioesterase 4	ENSG00000177465	122970	14
HGNC:33159	Approved	ACOT6	acyl-CoA thioesterase 6	ENSG00000205669	641372	14
HGNC:24157	Approved	ACOT7	acyl-CoA thioesterase 7	ENSG00000097021	11332	1
HGNC:15919	Approved	ACOT8	acyl-CoA thioesterase 8	ENSG00000101473	10005	20
HGNC:17152	Approved	ACOT9	acyl-CoA thioesterase 9	ENSG00000123130	23597	X
HGNC:18156	Approved	ACOT11	acyl-CoA thioesterase 11	ENSG00000162390	26027	1
HGNC:24436	Approved	ACOT12	acyl-CoA thioesterase 12	ENSG00000172497	134526	5
HGNC:20999	Approved	ACOT13	acyl-CoA thioesterase 13	ENSG00000112304	55856	6
HGNC:119	Approved	ACOX1	acyl-CoA oxidase 1	ENSG00000161533	51	17
HGNC:120	Approved	ACOX2	acyl-CoA oxidase 2	ENSG00000168306	8309	3
HGNC:121	Approved	ACOX3	acyl-CoA oxidase 3, pristanoyl	ENSG00000087008	8310	4
HGNC:25621	Approved	ACOXL	acyl-CoA oxidase like	ENSG00000153093	55289	2
HGNC:41112	Approved	ACOXL-AS1	ACOXL antisense RNA 1	ENSG00000204581	400997	2
HGNC:122	Approved	ACP1	acid phosphatase 1	ENSG00000143727	52	2
HGNC:123	Approved	ACP2	acid phosphatase 2, lysosomal	ENSG00000134575	53	11
HGNC:14376	Approved	ACP4	acid phosphatase 4	ENSG00000142513	93650	19
HGNC:124	Approved	ACP5	acid phosphatase 5, tartrate resistant	ENSG00000102575	54	19
HGNC:29609	Approved	ACP6	acid phosphatase 6, lysophosphatidic	ENSG00000162836	51205	1
HGNC:33781	Approved	ACP7	acid phosphatase 7, tartrate resistant (putative)	ENSG00000183760	390928	19
HGNC:125	Approved	ACPP	acid phosphatase, prostate	ENSG00000014257	55	3
HGNC:126	Approved	ACR	acrosin	ENSG00000100312	49	22
HGNC:17195	Approved	ACRBP	acrosin binding protein	ENSG00000111644	84519	12
HGNC:127	Approved	ACRV1	acrosomal vesicle protein 1	ENSG00000134940	56	11
HGNC:29567	Approved	ACSBG1	acyl-CoA synthetase bubblegum family member 1	ENSG00000103740	23205	15
HGNC:24174	Approved	ACSBG2	acyl-CoA synthetase bubblegum family member 2	ENSG00000130377	81616	19
HGNC:26101	Approved	ACSF2	acyl-CoA synthetase family member 2	ENSG00000167107	80221	17
HGNC:27288	Approved	ACSF3	acyl-CoA synthetase family member 3	ENSG00000176715	197322	16
HGNC:3569	Approved	ACSL1	acyl-CoA synthetase long chain family member 1	ENSG00000151726	2180	4
HGNC:3570	Approved	ACSL3	acyl-CoA synthetase long chain family member 3	ENSG00000123983	2181	2
HGNC:3571	Approved	ACSL4	acyl-CoA synthetase long chain family member 4	ENSG00000068366	2182	X
HGNC:16526	Approved	ACSL5	acyl-CoA synthetase long chain family member 5	ENSG00000197142	51703	10
HGNC:16496	Approved	ACSL6	acyl-CoA synthetase long chain family member 6	ENSG00000164398	23305	5
HGNC:18049	Approved	ACSM1	acyl-CoA synthetase medium chain family member 1	ENSG00000166743	116285	16
HGNC:32017	Approved	ACSM2A	acyl-CoA synthetase medium chain family member 2A	ENSG00000183747	123876	16
HGNC:30931	Approved	ACSM2B	acyl-CoA synthetase medium chain family member 2B	ENSG00000066813	348158	16
HGNC:10522	Approved	ACSM3	acyl-CoA synthetase medium chain family member 3	ENSG00000005187	6296	16
HGNC:32016	Approved	ACSM4	acyl-CoA synthetase medium chain family member 4	ENSG00000215009	341392	12
HGNC:26060	Approved	ACSM5	acyl-CoA synthetase medium chain family member 5	ENSG00000183549	54988	16
HGNC:51295	Approved	ACSM5P1	acyl-CoA synthetase medium chain family member 5 pseudogene 1	ENSG00000260762	100421779	16
HGNC:31665	Approved	ACSM6	acyl-CoA synthetase medium chain family member 6	ENSG00000173124	142827	10
HGNC:16091	Approved	ACSS1	acyl-CoA synthetase short chain family member 1	ENSG00000154930	84532	20
HGNC:15814	Approved	ACSS2	acyl-CoA synthetase short chain family member 2	ENSG00000131069	55902	20
HGNC:24723	Approved	ACSS3	acyl-CoA synthetase short chain family member 3	ENSG00000111058	79611	12
HGNC:129	Approved	ACTA1	actin alpha 1, skeletal muscle	ENSG00000143632	58	1
HGNC:130	Approved	ACTA2	actin alpha 2, smooth muscle	ENSG00000107796	59	10
HGNC:45169	Approved	ACTA2-AS1	ACTA2 antisense RNA 1	ENSG00000180139	100132116	10
HGNC:132	Approved	ACTB	actin beta	ENSG00000075624	60	7
HGNC:17780	Approved	ACTBL2	actin beta like 2	ENSG00000169067	345651	5
HGNC:134	Approved	ACTBP1	ACTB pseudogene 1	ENSG00000229145	643309	X
HGNC:135	Approved	ACTBP2	ACTB pseudogene 2	ENSG00000213763	62	5
HGNC:136	Approved	ACTBP3	ACTB pseudogene 3		63	18
HGNC:137	Approved	ACTBP4	ACTB pseudogene 4		64	5
HGNC:138	Entry Withdrawn	ACTBP5	entry withdrawn			NA
HGNC:139	Approved	ACTBP6	ACTB pseudogene 6	ENSG00000203413	66	8
HGNC:140	Approved	ACTBP7	ACTB pseudogene 7	ENSG00000185607	67	15
HGNC:141	Approved	ACTBP8	ACTB pseudogene 8	ENSG00000220267	68	6
HGNC:142	Approved	ACTBP9	ACTB pseudogene 9	ENSG00000266920	69	18
HGNC:31819	Approved	ACTBP10	ACTB pseudogene 10		446207	14
HGNC:33971	Approved	ACTBP11	ACTB pseudogene 11	ENSG00000188460	644220	1
HGNC:150	Approved	ACTBP12	ACTB pseudogene 12	ENSG00000233125	100462767	1
HGNC:44626	Approved	ACTBP13	ACTB pseudogene 13	ENSG00000234667	389120	3
HGNC:45086	Approved	ACTBP14	ACTB pseudogene 14	ENSG00000229001	389976	10
HGNC:143	Approved	ACTC1	actin alpha cardiac muscle 1	ENSG00000159251	70	15
HGNC:144	Approved	ACTG1	actin gamma 1	ENSG00000184009	71	17
HGNC:146	Approved	ACTG1P1	actin gamma 1 pseudogene 1	ENSG00000178631	73	3
HGNC:147	Approved	ACTG1P2	actin gamma 1 pseudogene 2	ENSG00000229129	74	Y
HGNC:148	Approved	ACTG1P3	actin gamma 1 pseudogene 3	ENSG00000215388	75	20
HGNC:149	Approved	ACTG1P4	actin gamma 1 pseudogene 4	ENSG00000236085	648740	1
HGNC:151	Approved	ACTG1P6	actin gamma 1 pseudogene 6		78	1
HGNC:152	Approved	ACTG1P7	actin gamma 1 pseudogene 7		79	1
HGNC:153	Approved	ACTG1P8	actin gamma 1 pseudogene 8		80	1
HGNC:154	Approved	ACTG1P9	actin gamma 1 pseudogene 9	ENSG00000229349	82	6
HGNC:155	Approved	ACTG1P10	actin gamma 1 pseudogene 10	ENSG00000231340	83	X
