#node1	node2	node1_string_id	node2_string_id	homology	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
Atf3	Cebpa	10090.ENSMUSP00000027941	10090.ENSMUSP00000096129	0	0.164	0.244	0.300	0.519
Atf3	Smad2	10090.ENSMUSP00000027941	10090.ENSMUSP00000130115	0	0.223	0.515	0.074	0.620
Atf3	Usf1	10090.ENSMUSP00000027941	10090.ENSMUSP00000125729	0	0.084	0.188	0.554	0.639
Atf3	Cebpb	10090.ENSMUSP00000027941	10090.ENSMUSP00000069850	0	0.235	0.244	0.435	0.645
Atf3	Smarca4	10090.ENSMUSP00000027941	10090.ENSMUSP00000034707	0	0.451	0.322	0.288	0.711
Atf3	Jund	10090.ENSMUSP00000027941	10090.ENSMUSP00000092901	0	0.283	0.272	0.622	0.785
Atf3	Smad3	10090.ENSMUSP00000027941	10090.ENSMUSP00000034973	0	0.227	0.634	0.768	0.928
Atf3	Jun	10090.ENSMUSP00000027941	10090.ENSMUSP00000102711	0	0.584	0.634	0.943	0.990
Brca1	Stat5a	10090.ENSMUSP00000017290	10090.ENSMUSP00000004145	0	0.227	0	0.714	0.769
Brca1	Nanog	10090.ENSMUSP00000017290	10090.ENSMUSP00000012540	0	0.433	0	0	0.433
Brca1	Nfya	10090.ENSMUSP00000017290	10090.ENSMUSP00000043909	0	0.130	0	0.509	0.554
Brca1	Jun	10090.ENSMUSP00000017290	10090.ENSMUSP00000102711	0	0.473	0	0.205	0.563
Brca1	Stag1	10090.ENSMUSP00000017290	10090.ENSMUSP00000116205	0	0.208	0.600	0	0.669
Brca1	Ep300	10090.ENSMUSP00000017290	10090.ENSMUSP00000066789	0	0.272	0	0.622	0.713
Brca1	Rela	10090.ENSMUSP00000017290	10090.ENSMUSP00000025867	0	0.272	0	0.637	0.724
Brca1	Gata3	10090.ENSMUSP00000017290	10090.ENSMUSP00000100041	0	0.130	0	0.744	0.768
Brca1	Hdac2	10090.ENSMUSP00000017290	10090.ENSMUSP00000019911	0	0.272	0	0.838	0.877
Brca1	Myc	10090.ENSMUSP00000017290	10090.ENSMUSP00000022971	0	0.230	0	0.870	0.896
Brca1	Smarca4	10090.ENSMUSP00000017290	10090.ENSMUSP00000034707	0	0.272	0	0.888	0.915
Brd4	Taf7l	10090.ENSMUSP00000113070	10090.ENSMUSP00000009740	0	0.295	0	0.194	0.407
Brd4	Myc	10090.ENSMUSP00000113070	10090.ENSMUSP00000022971	0	0.230	0.170	0.398	0.581
Brd4	Pou5f1	10090.ENSMUSP00000113070	10090.ENSMUSP00000025271	0	0.437	0	0.478	0.693
Brd4	Rela	10090.ENSMUSP00000113070	10090.ENSMUSP00000025867	0	0.921	0.255	0.897	0.993
Brd4	Smarca4	10090.ENSMUSP00000113070	10090.ENSMUSP00000034707	0	0.254	0.151	0.656	0.763
Brd4	Taf7	10090.ENSMUSP00000113070	10090.ENSMUSP00000065645	0	0.295	0	0.412	0.568
Brd4	Ep300	10090.ENSMUSP00000113070	10090.ENSMUSP00000066789	0	0.272	0	0.582	0.683
Brd4	Cebpa	10090.ENSMUSP00000113070	10090.ENSMUSP00000096129	0	0.444	0.169	0.293	0.645
Brd4	Taf1	10090.ENSMUSP00000113070	10090.ENSMUSP00000098895	0	0.289	0.255	0.250	0.568
Brd4	E2f1	10090.ENSMUSP00000113070	10090.ENSMUSP00000099434	0	0.643	0.163	0.314	0.777
Brd4	Tbp	10090.ENSMUSP00000113070	10090.ENSMUSP00000124317	0	0.248	0	0.287	0.440
Cebpa	Pparg	10090.ENSMUSP00000096129	10090.ENSMUSP00000000450	0	0.162	0.153	0.583	0.678
Cebpa	Spi1	10090.ENSMUSP00000096129	10090.ENSMUSP00000002180	0	0.227	0.600	0.797	0.931
Cebpa	E2f4	10090.ENSMUSP00000096129	10090.ENSMUSP00000015003	0	0.227	0.634	0.821	0.945
Cebpa	Gata2	10090.ENSMUSP00000096129	10090.ENSMUSP00000015197	0	0.085	0.600	0.324	0.731
Cebpa	Mybl2	10090.ENSMUSP00000096129	10090.ENSMUSP00000018005	0	0.313	0	0.176	0.409
Cebpa	Myb	10090.ENSMUSP00000096129	10090.ENSMUSP00000020158	0	0.313	0.600	0.176	0.753
Cebpa	Myc	10090.ENSMUSP00000096129	10090.ENSMUSP00000022971	0	0.191	0	0.355	0.455
Cebpa	Runx1	10090.ENSMUSP00000096129	10090.ENSMUSP00000023673	0	0.274	0.600	0	0.697
Cebpa	Smarca4	10090.ENSMUSP00000096129	10090.ENSMUSP00000034707	0	0.134	0.515	0	0.562
Cebpa	Smad3	10090.ENSMUSP00000096129	10090.ENSMUSP00000034973	0	0.137	0.307	0.252	0.513
Cebpa	Ep300	10090.ENSMUSP00000096129	10090.ENSMUSP00000066789	0	0.457	0.395	0.661	0.879
Cebpa	Cebpb	10090.ENSMUSP00000096129	10090.ENSMUSP00000069850	0	0.473	0.893	0.591	0.975
Cebpa	Hsf1	10090.ENSMUSP00000096129	10090.ENSMUSP00000072617	0	0.090	0.427	0	0.456
Cebpa	Jund	10090.ENSMUSP00000096129	10090.ENSMUSP00000092901	0	0.163	0.322	0.184	0.496
Cebpa	Smad2	10090.ENSMUSP00000096129	10090.ENSMUSP00000130115	0	0.137	0.307	0.198	0.478
Cebpa	Gata3	10090.ENSMUSP00000096129	10090.ENSMUSP00000100041	0	0.081	0	0.548	0.567
Cebpa	E2f1	10090.ENSMUSP00000096129	10090.ENSMUSP00000099434	0	0.163	0.833	0.219	0.881
Cebpa	Jun	10090.ENSMUSP00000096129	10090.ENSMUSP00000102711	0	0.163	0.588	0.883	0.956
Cebpb	Pparg	10090.ENSMUSP00000069850	10090.ENSMUSP00000000450	0	0.227	0.153	0.679	0.772
Cebpb	Spi1	10090.ENSMUSP00000069850	10090.ENSMUSP00000002180	0	0.162	0	0.647	0.691
Cebpb	Stat5a	10090.ENSMUSP00000069850	10090.ENSMUSP00000004145	0	0.056	0	0.576	0.583
Cebpb	Klf5	10090.ENSMUSP00000069850	10090.ENSMUSP00000005279	0	0.058	0.136	0.567	0.616
Cebpb	E2f4	10090.ENSMUSP00000069850	10090.ENSMUSP00000015003	0	0.163	0.335	0.120	0.467
Cebpb	Mybl2	10090.ENSMUSP00000069850	10090.ENSMUSP00000018005	0	0.447	0	0.070	0.463
Cebpb	Myb	10090.ENSMUSP00000069850	10090.ENSMUSP00000020158	0	0.913	0	0.730	0.975
Cebpb	Runx1	10090.ENSMUSP00000069850	10090.ENSMUSP00000023673	0	0.739	0	0.067	0.746
Cebpb	Rela	10090.ENSMUSP00000069850	10090.ENSMUSP00000025867	0	0.272	0	0.261	0.439
Cebpb	Smarca4	10090.ENSMUSP00000069850	10090.ENSMUSP00000034707	0	0.272	0.515	0.571	0.835
Cebpb	Smad3	10090.ENSMUSP00000069850	10090.ENSMUSP00000034973	0	0.227	0.634	0.798	0.938
Cebpb	Ep300	10090.ENSMUSP00000069850	10090.ENSMUSP00000066789	0	0.505	0.634	0.677	0.936
Cebpb	Egr1	10090.ENSMUSP00000069850	10090.ENSMUSP00000069616	0	0.227	0.136	0.601	0.710
Cebpb	Sin3a	10090.ENSMUSP00000069850	10090.ENSMUSP00000130221	0	0.447	0	0	0.447
Cebpb	Nr1h3	10090.ENSMUSP00000069850	10090.ENSMUSP00000106988	0	0.081	0.153	0.354	0.453
Cebpb	Kat2a	10090.ENSMUSP00000069850	10090.ENSMUSP00000099407	0	0.444	0.169	0.048	0.522
Cebpb	Jund	10090.ENSMUSP00000069850	10090.ENSMUSP00000092901	0	0.163	0.322	0.330	0.586
Cebpb	Hsf1	10090.ENSMUSP00000069850	10090.ENSMUSP00000072617	0	0.130	0.427	0.454	0.704
Cebpb	Smad2	10090.ENSMUSP00000069850	10090.ENSMUSP00000130115	0	0.164	0.634	0.277	0.759
Cebpb	Jun	10090.ENSMUSP00000069850	10090.ENSMUSP00000102711	0	0.163	0.634	0.392	0.797
Cebpb	Runx2	10090.ENSMUSP00000069850	10090.ENSMUSP00000109202	0	0.435	0	0.890	0.935
Clock	Pparg	10090.ENSMUSP00000074656	10090.ENSMUSP00000000450	0	0.240	0.155	0.335	0.535
Clock	Ep300	10090.ENSMUSP00000074656	10090.ENSMUSP00000066789	0	0.588	0.310	0.328	0.793
Clock	Runx2	10090.ENSMUSP00000074656	10090.ENSMUSP00000109202	0	0	0	0.435	0.435
Ctcf	Smarca4	10090.ENSMUSP00000005841	10090.ENSMUSP00000034707	0	0.134	0.179	0.256	0.424
Ctcf	Zbtb33	10090.ENSMUSP00000005841	10090.ENSMUSP00000110795	0	0.274	0	0.469	0.598
Ctcf	Stag1	10090.ENSMUSP00000005841	10090.ENSMUSP00000116205	0	0.466	0	0.414	0.674
Ctcf	Sin3a	10090.ENSMUSP00000005841	10090.ENSMUSP00000130221	0	0.141	0	0.807	0.827
Ctcf	Pou5f1	10090.ENSMUSP00000005841	10090.ENSMUSP00000025271	0	0.443	0	0.774	0.869
E2f1	Spi1	10090.ENSMUSP00000099434	10090.ENSMUSP00000002180	0	0.048	0.634	0.097	0.657
E2f1	E2f4	10090.ENSMUSP00000099434	10090.ENSMUSP00000015003	0	0.131	0.395	0.147	0.512
E2f1	Hdac2	10090.ENSMUSP00000099434	10090.ENSMUSP00000019911	0	0.065	0.512	0.105	0.555
E2f1	E2f6	10090.ENSMUSP00000099434	10090.ENSMUSP00000020908	0	0	0	0.464	0.463
E2f1	Smarca4	10090.ENSMUSP00000099434	10090.ENSMUSP00000034707	0	0.463	0.290	0	0.602
E2f1	Ep300	10090.ENSMUSP00000099434	10090.ENSMUSP00000066789	0	0.272	0.290	0.148	0.521
E2f1	Kat2a	10090.ENSMUSP00000099434	10090.ENSMUSP00000099407	0	0.521	0.515	0.440	0.858
E2f1	Tbp	10090.ENSMUSP00000099434	10090.ENSMUSP00000124317	0	0.272	0	0.440	0.575
E2f4	Spi1	10090.ENSMUSP00000015003	10090.ENSMUSP00000002180	0	0.048	0.395	0.049	0.404
E2f4	Ncor1	10090.ENSMUSP00000015003	10090.ENSMUSP00000068974	0	0.081	0.384	0	0.409
E2f4	Tbp	10090.ENSMUSP00000015003	10090.ENSMUSP00000124317	0	0.172	0	0.346	0.435
E2f4	Hdac2	10090.ENSMUSP00000015003	10090.ENSMUSP00000019911	0	0.191	0.588	0.147	0.690
E2f4	Smarca4	10090.ENSMUSP00000015003	10090.ENSMUSP00000034707	0	0.134	0.419	0.468	0.708
E2f4	Mybl2	10090.ENSMUSP00000015003	10090.ENSMUSP00000018005	0	0.277	0	0.653	0.738
E2f4	Kat2a	10090.ENSMUSP00000015003	10090.ENSMUSP00000099407	0	0.190	0.634	0.206	0.744
E2f4	Ep300	10090.ENSMUSP00000015003	10090.ENSMUSP00000066789	0	0.190	0.419	0.509	0.748
E2f4	Sin3a	10090.ENSMUSP00000015003	10090.ENSMUSP00000130221	0	0.130	0.588	0.535	0.818
E2f4	Smad2	10090.ENSMUSP00000015003	10090.ENSMUSP00000130115	0	0.085	0.757	0.463	0.870
E2f4	Smad3	10090.ENSMUSP00000015003	10090.ENSMUSP00000034973	0	0.130	0.847	0.894	0.984
E2f6	Ep300	10090.ENSMUSP00000020908	10090.ENSMUSP00000066789	0	0.190	0.290	0.088	0.429
E2f6	Taf7	10090.ENSMUSP00000020908	10090.ENSMUSP00000065645	0	0	0.720	0	0.720
E2f6	Taf1	10090.ENSMUSP00000020908	10090.ENSMUSP00000098895	0	0	0.720	0	0.720
E2f6	Max	10090.ENSMUSP00000020908	10090.ENSMUSP00000106025	0	0.199	0.720	0.211	0.807
Egr1	Ep300	10090.ENSMUSP00000069616	10090.ENSMUSP00000066789	0	0.272	0.157	0.332	0.554
Egr1	Jund	10090.ENSMUSP00000069616	10090.ENSMUSP00000092901	0	0.404	0.144	0	0.468
Egr1	Jun	10090.ENSMUSP00000069616	10090.ENSMUSP00000102711	0	0.104	0.144	0.433	0.527
Eomes	Smad2	10090.ENSMUSP00000035020	10090.ENSMUSP00000130115	0	0.058	0	0.854	0.857
Ep300	Pparg	10090.ENSMUSP00000066789	10090.ENSMUSP00000000450	0	0.634	0.828	0.711	0.980
Ep300	Spi1	10090.ENSMUSP00000066789	10090.ENSMUSP00000002180	0	0.485	0	0.669	0.822
Ep300	Stat5a	10090.ENSMUSP00000066789	10090.ENSMUSP00000004145	0	0.272	0.588	0.547	0.852
Ep300	Gata2	10090.ENSMUSP00000066789	10090.ENSMUSP00000015197	0	0.186	0.285	0.088	0.422
Ep300	Mybl2	10090.ENSMUSP00000066789	10090.ENSMUSP00000018005	0	0.285	0.421	0.272	0.672
Ep300	Hdac2	10090.ENSMUSP00000066789	10090.ENSMUSP00000019911	0	0.279	0.634	0.704	0.915
Ep300	Myb	10090.ENSMUSP00000066789	10090.ENSMUSP00000020158	0	0.359	0.634	0.789	0.946
Ep300	Myc	10090.ENSMUSP00000066789	10090.ENSMUSP00000022971	0	0.230	0.826	0.622	0.945
Ep300	Runx1	10090.ENSMUSP00000066789	10090.ENSMUSP00000023673	0	0.473	0.600	0.509	0.887
Ep300	Pou5f1	10090.ENSMUSP00000066789	10090.ENSMUSP00000025271	0	0.437	0	0	0.437
Ep300	Rela	10090.ENSMUSP00000066789	10090.ENSMUSP00000025867	0	0.544	0.847	0.623	0.971
Ep300	Tfap2c	10090.ENSMUSP00000066789	10090.ENSMUSP00000030391	0	0.138	0.600	0.068	0.650
Ep300	Smarca4	10090.ENSMUSP00000066789	10090.ENSMUSP00000034707	0	0.215	0.384	0.638	0.809
Ep300	Smad3	10090.ENSMUSP00000066789	10090.ENSMUSP00000034973	0	0.272	0.588	0.779	0.928
Ep300	Foxa1	10090.ENSMUSP00000066789	10090.ENSMUSP00000041118	0	0.092	0.818	0	0.828
Ep300	Gata6	10090.ENSMUSP00000066789	10090.ENSMUSP00000041774	0	0.186	0.285	0.326	0.574
Ep300	Rarg	10090.ENSMUSP00000066789	10090.ENSMUSP00000048838	0	0.493	0.634	0.074	0.813
Ep300	Klf1	10090.ENSMUSP00000066789	10090.ENSMUSP00000064366	0	0.271	0.157	0.357	0.570
Ep300	Ercc6	10090.ENSMUSP00000066789	10090.ENSMUSP00000066256	0	0.164	0.822	0.239	0.877
Ep300	Sin3a	10090.ENSMUSP00000066789	10090.ENSMUSP00000130221	0	0.536	0	0.124	0.576
Ep300	Nfyb	10090.ENSMUSP00000066789	10090.ENSMUSP00000122403	0	0.272	0	0.512	0.629
Ep300	Pml	10090.ENSMUSP00000066789	10090.ENSMUSP00000082816	0	0.196	0.600	0	0.664
Ep300	Foxm1	10090.ENSMUSP00000066789	10090.ENSMUSP00000073041	0	0.164	0.634	0.169	0.723
Ep300	Max	10090.ENSMUSP00000066789	10090.ENSMUSP00000106025	0	0.272	0.634	0.114	0.743
Ep300	Taf1	10090.ENSMUSP00000066789	10090.ENSMUSP00000098895	0	0.220	0.588	0.268	0.744
Ep300	Trp63	10090.ENSMUSP00000066789	10090.ENSMUSP00000110965	0	0.272	0.634	0.129	0.747
Ep300	Jund	10090.ENSMUSP00000066789	10090.ENSMUSP00000092901	0	0.286	0.634	0.331	0.809
Ep300	Runx2	10090.ENSMUSP00000066789	10090.ENSMUSP00000109202	0	0.272	0	0.784	0.836
Ep300	Klf4	10090.ENSMUSP00000066789	10090.ENSMUSP00000103245	0	0.272	0.157	0.773	0.848
Ep300	Nr1h3	10090.ENSMUSP00000066789	10090.ENSMUSP00000106988	0	0.505	0.667	0.207	0.858
Ep300	Ncor1	10090.ENSMUSP00000066789	10090.ENSMUSP00000068974	0	0.641	0.634	0.148	0.878
Ep300	Tbp	10090.ENSMUSP00000066789	10090.ENSMUSP00000124317	0	0.248	0.600	0.688	0.898
Ep300	Gata3	10090.ENSMUSP00000066789	10090.ENSMUSP00000100041	0	0.186	0.850	0.292	0.906
Ep300	Jun	10090.ENSMUSP00000066789	10090.ENSMUSP00000102711	0	0.443	0.634	0.622	0.916
Ep300	Tcf3	10090.ENSMUSP00000066789	10090.ENSMUSP00000100979	0	0.803	0	0.622	0.922
Ep300	Smad2	10090.ENSMUSP00000066789	10090.ENSMUSP00000130115	0	0.272	0.588	0.786	0.930
Ep300	Usf1	10090.ENSMUSP00000066789	10090.ENSMUSP00000125729	0	0.447	0.861	0.276	0.939
Ep300	Kat2a	10090.ENSMUSP00000066789	10090.ENSMUSP00000099407	0	0.445	0.878	0.395	0.955
Ercc6	Hdac2	10090.ENSMUSP00000066256	10090.ENSMUSP00000019911	0	0.157	0.645	0.092	0.704
Ercc6	Tbp	10090.ENSMUSP00000066256	10090.ENSMUSP00000124317	0	0.149	0.600	0	0.645
Ercc6	Kat2a	10090.ENSMUSP00000066256	10090.ENSMUSP00000099407	0	0.164	0.645	0.091	0.707
Foxa1	Tbp	10090.ENSMUSP00000041118	10090.ENSMUSP00000124317	0	0.132	0.600	0	0.637
Foxa1	Gata3	10090.ENSMUSP00000041118	10090.ENSMUSP00000100041	0	0.163	0.800	0.455	0.900
Foxm1	Nanog	10090.ENSMUSP00000073041	10090.ENSMUSP00000012540	0	0.433	0	0	0.433
Foxm1	Mybl2	10090.ENSMUSP00000073041	10090.ENSMUSP00000018005	0	0.076	0	0.800	0.807
Foxm1	Smad3	10090.ENSMUSP00000073041	10090.ENSMUSP00000034973	0	0.130	0.163	0.595	0.679
Gata2	Spi1	10090.ENSMUSP00000015197	10090.ENSMUSP00000002180	0	0.272	0.800	0.836	0.974
Gata2	Jund	10090.ENSMUSP00000015197	10090.ENSMUSP00000092901	0	0.202	0.218	0.124	0.405
Gata2	Mybl2	10090.ENSMUSP00000015197	10090.ENSMUSP00000018005	0	0.091	0.297	0.146	0.406
Gata2	Pml	10090.ENSMUSP00000015197	10090.ENSMUSP00000082816	0	0.130	0	0.454	0.504
Gata2	Tcf3	10090.ENSMUSP00000015197	10090.ENSMUSP00000100979	0	0.114	0.600	0	0.630
Gata2	Jun	10090.ENSMUSP00000015197	10090.ENSMUSP00000102711	0	0.202	0.634	0.367	0.798
Gata2	Myb	10090.ENSMUSP00000015197	10090.ENSMUSP00000020158	0	0.091	0.853	0.199	0.883
Gata2	Runx1	10090.ENSMUSP00000015197	10090.ENSMUSP00000023673	0	0.433	0.800	0.312	0.915
Gata3	Spi1	10090.ENSMUSP00000100041	10090.ENSMUSP00000002180	0	0.459	0	0.257	0.581
Gata3	Mybl2	10090.ENSMUSP00000100041	10090.ENSMUSP00000018005	0	0.091	0.297	0.146	0.406
Gata3	Hdac2	10090.ENSMUSP00000100041	10090.ENSMUSP00000019911	0	0.272	0.305	0.273	0.600
Gata3	Myb	10090.ENSMUSP00000100041	10090.ENSMUSP00000020158	0	0.130	0.297	0.532	0.689
Gata3	Runx1	10090.ENSMUSP00000100041	10090.ENSMUSP00000023673	0	0	0.600	0.137	0.640
Gata3	Smad3	10090.ENSMUSP00000100041	10090.ENSMUSP00000034973	0	0.093	0.634	0.794	0.925
Gata3	Jund	10090.ENSMUSP00000100041	10090.ENSMUSP00000092901	0	0.202	0.218	0.148	0.421
Gata3	Smad2	10090.ENSMUSP00000100041	10090.ENSMUSP00000130115	0	0.093	0.515	0.147	0.591
Gata3	Tbp	10090.ENSMUSP00000100041	10090.ENSMUSP00000124317	0	0	0.600	0	0.600
Gata3	Tcf3	10090.ENSMUSP00000100041	10090.ENSMUSP00000100979	0	0.114	0.600	0	0.630
Gata3	Jun	10090.ENSMUSP00000100041	10090.ENSMUSP00000102711	0	0.202	0.500	0.230	0.665
Hdac2	Pparg	10090.ENSMUSP00000019911	10090.ENSMUSP00000000450	0	0.091	0.410	0.044	0.442
Hdac2	Spi1	10090.ENSMUSP00000019911	10090.ENSMUSP00000002180	0	0.458	0	0	0.458
Hdac2	Stat5a	10090.ENSMUSP00000019911	10090.ENSMUSP00000004145	0	0.164	0.417	0	0.491
Hdac2	Klf5	10090.ENSMUSP00000019911	10090.ENSMUSP00000005279	0	0.470	0.137	0	0.523
Hdac2	Nanog	10090.ENSMUSP00000019911	10090.ENSMUSP00000012540	0	0.483	0	0.071	0.499
Hdac2	Kdm6a	10090.ENSMUSP00000019911	10090.ENSMUSP00000061539	0	0.278	0	0.260	0.442
Hdac2	Rarg	10090.ENSMUSP00000019911	10090.ENSMUSP00000048838	0	0.140	0.382	0	0.445
Hdac2	Trp63	10090.ENSMUSP00000019911	10090.ENSMUSP00000110965	0	0.143	0	0.397	0.461
Hdac2	Runx1	10090.ENSMUSP00000019911	10090.ENSMUSP00000023673	0	0.473	0	0.063	0.485
Hdac2	Pml	10090.ENSMUSP00000019911	10090.ENSMUSP00000082816	0	0.473	0	0.068	0.488
Hdac2	Kdm2b	10090.ENSMUSP00000019911	10090.ENSMUSP00000038229	0	0.142	0.360	0.146	0.490
Hdac2	Pou5f1	10090.ENSMUSP00000019911	10090.ENSMUSP00000025271	0	0.483	0	0.082	0.505
Hdac2	Myc	10090.ENSMUSP00000019911	10090.ENSMUSP00000022971	0	0.213	0.381	0.156	0.552
Hdac2	Zfp42	10090.ENSMUSP00000019911	10090.ENSMUSP00000080765	0	0.104	0.586	0	0.613
Hdac2	Zfp217	10090.ENSMUSP00000019911	10090.ENSMUSP00000104783	0	0.272	0.137	0.454	0.627
Hdac2	Smad3	10090.ENSMUSP00000019911	10090.ENSMUSP00000034973	0	0.191	0.403	0.292	0.628
Hdac2	Sox2	10090.ENSMUSP00000019911	10090.ENSMUSP00000096755	0	0.492	0	0.317	0.638
Hdac2	Max	10090.ENSMUSP00000019911	10090.ENSMUSP00000106025	0	0.061	0.634	0.050	0.644
Hdac2	Mycn	10090.ENSMUSP00000019911	10090.ENSMUSP00000045993	0	0.206	0	0.639	0.701
Hdac2	Smarca4	10090.ENSMUSP00000019911	10090.ENSMUSP00000034707	0	0.504	0.150	0.436	0.742
Hdac2	Smad2	10090.ENSMUSP00000019911	10090.ENSMUSP00000130115	0	0.191	0.634	0.263	0.763
Hdac2	Klf4	10090.ENSMUSP00000019911	10090.ENSMUSP00000103245	0	0.272	0.137	0.754	0.832
Hdac2	Rela	10090.ENSMUSP00000019911	10090.ENSMUSP00000025867	0	0.282	0.634	0.754	0.929
Hdac2	Ncor1	10090.ENSMUSP00000019911	10090.ENSMUSP00000068974	0	0.456	0.847	0.630	0.966
Hdac2	Sin3a	10090.ENSMUSP00000019911	10090.ENSMUSP00000130221	0	0.709	0.923	0.935	0.998
Hoxc9	Pbx3	10090.ENSMUSP00000001706	10090.ENSMUSP00000045281	0	0.540	0	0.318	0.672
Hsf1	Smarca4	10090.ENSMUSP00000072617	10090.ENSMUSP00000034707	0	0.272	0	0.595	0.692
Hsf1	Kat2a	10090.ENSMUSP00000072617	10090.ENSMUSP00000099407	0	0.229	0	0.337	0.467
Jun	Klf6	10090.ENSMUSP00000102711	10090.ENSMUSP00000000080	0	0.104	0.144	0.442	0.535
Jun	Pparg	10090.ENSMUSP00000102711	10090.ENSMUSP00000000450	0	0.072	0.634	0.529	0.826
Jun	Spi1	10090.ENSMUSP00000102711	10090.ENSMUSP00000002180	0	0.460	0	0.899	0.943
Jun	Klf5	10090.ENSMUSP00000102711	10090.ENSMUSP00000005279	0	0.169	0.144	0.345	0.494
Jun	Rela	10090.ENSMUSP00000102711	10090.ENSMUSP00000025867	0	0.460	0.588	0.535	0.887
Jun	Smarca4	10090.ENSMUSP00000102711	10090.ENSMUSP00000034707	0	0.174	0.588	0.265	0.728
Jun	Smad3	10090.ENSMUSP00000102711	10090.ENSMUSP00000034973	0	0.367	0.634	0.886	0.971
Jun	Kdm6a	10090.ENSMUSP00000102711	10090.ENSMUSP00000061539	0	0.083	0.600	0	0.617
Jun	Ncor1	10090.ENSMUSP00000102711	10090.ENSMUSP00000068974	0	0.439	0	0.648	0.794
Jun	Jund	10090.ENSMUSP00000102711	10090.ENSMUSP00000092901	0	0.058	0.893	0.622	0.958
Jun	Taf1	10090.ENSMUSP00000102711	10090.ENSMUSP00000098895	0	0.154	0	0.396	0.467
Jun	Kat2a	10090.ENSMUSP00000102711	10090.ENSMUSP00000099407	0	0.203	0.478	0.265	0.667
Jun	Mecom	10090.ENSMUSP00000102711	10090.ENSMUSP00000103905	0	0.470	0.144	0	0.527
Jun	Smad2	10090.ENSMUSP00000102711	10090.ENSMUSP00000130115	0	0.272	0.515	0.398	0.769
Jun	Maf	10090.ENSMUSP00000102711	10090.ENSMUSP00000104732	0	0	0	0.872	0.872
Jund	Smarca4	10090.ENSMUSP00000092901	10090.ENSMUSP00000034707	0	0.174	0.356	0	0.445
Jund	Smad3	10090.ENSMUSP00000092901	10090.ENSMUSP00000034973	0	0.441	0.213	0.394	0.710
Jund	Kat2a	10090.ENSMUSP00000092901	10090.ENSMUSP00000099407	0	0.203	0.345	0.205	0.548
Kat2a	Myc	10090.ENSMUSP00000099407	10090.ENSMUSP00000022971	0	0.230	0.585	0.841	0.944
Kat2a	Rela	10090.ENSMUSP00000099407	10090.ENSMUSP00000025867	0	0.485	0.478	0.119	0.742
Kat2a	Smarca4	10090.ENSMUSP00000099407	10090.ENSMUSP00000034707	0	0.231	0.418	0.346	0.682
Kat2a	Rarg	10090.ENSMUSP00000099407	10090.ENSMUSP00000048838	0	0.132	0.393	0	0.450
Kat2a	Taf7	10090.ENSMUSP00000099407	10090.ENSMUSP00000065645	0	0.198	0.720	0.074	0.773
Kat2a	Taf1	10090.ENSMUSP00000099407	10090.ENSMUSP00000098895	0	0.234	0.255	0	0.404
Kat2a	Mecom	10090.ENSMUSP00000099407	10090.ENSMUSP00000103905	0	0.147	0.166	0.235	0.408
